"population","fertility","HIV","CO2","BMI_male","GDP","BMI_female","life","child_mortality"
33363256,1.68,0.2,16.3503986273305,27.4521,41468,118.0571,80.7,5.8
11139740,6.81,3.4,0.047839126373075,21.48569,1753,127.864,54.8,168
16645940,1.89,0.4,4.24025913623095,27.01542,18698,125.5417,78.9,8.9
44901660,2.43,0.5,1.47609182008362,24.94041,10489,124.0235,75.1,19.7
665414,5.05,0.06,0.178853064078175,22.06131,1440,132.1354,62.6,91.2
3832771,5.1,3.5,0.384220476866096,21.87134,5022,131.6935,58.6,72.6
4429506,1.91,0.3,1.91193341889785,26.47897,12219,121.35,79.7,10.3
19261647,4.91,3.7,0.361896602941861,22.56469,2854,131.5237,55.9,116.9
4344151,1.43,0.06,5.28790257621164,26.59629,21873,130.3921,76.5,5.9
11290239,1.5,0.1,2.7017771665481,25.06867,17765,126.0594,77.8,6.3
5495302,1.89,0.2,8.54150780114596,26.13287,45017,119.5815,78.7,4.3
809639,3.76,2.6,0.612799523785036,23.38403,2502,129.3376,61,81
14447600,2.73,0.4,2.1105178014248,25.58841,9244,122.9864,74,26.8
78976122,2.95,0.06,2.51239420485077,26.73243,9974,125.0931,70.1,31.4
6004199,2.32,0.8,1.06776463433017,26.36751,7450,119.9321,74.1,21.6
686223,5.31,4.7,6.79825322939676,23.7664,40143,132.0392,56.7,118.4
4500638,5.16,0.8,0.083745644199051,20.88509,1088,125.7948,60.4,60.4
1339941,1.62,1.2,13.0313788748608,26.26446,24743,129.5161,74,5.5
843206,2.74,0.1,1.27777955576417,26.53078,7129,127.4768,65.7,24
5314170,1.85,0.1,10.6441142837652,26.73339,42122,126.5645,79.4,3.3
62309529,1.97,0.4,5.99902072645023,25.85329,37505,120.0146,81,4.3
1473741,4.28,5.3,1.07953931688168,24.0762,15800,130.3625,57.5,68
1586749,5.8,1.7,0.251002328494815,21.65029,1566,130.208,62.2,87.4
4343290,1.79,0.1,1.4194297793045,25.54942,5900,130.5789,72.1,19.3
80665906,1.37,0.1,9.49724675654597,27.16509,41199,124.9044,80,4.4
23115919,4.19,1.8,0.36660084873269,22.84247,2907,128.2953,62.7,79.9
11161755,1.46,0.1,8.66123553121303,26.33786,32197,122.9342,79.5,4.9
14106687,4.12,0.8,0.835594820071747,25.29947,6960,120.9596,70.8,36.9
10427356,5.34,1.4,0.126964400102799,22.52449,1230,132.2765,58.3,121
1561293,5.25,2.5,0.156376432466591,21.64338,1326,130.7627,51.3,127.6
748096,2.74,1.2,2.07341531196141,23.68465,5208,125.1512,63,41.9
9705130,3.5,2,0.24930675467243,23.66302,1600,125.3461,61.7,83.3
7259470,3.27,0.8,1.18745351631848,25.10872,4391,122.9621,70.9,26.5
10050699,1.33,0.06,5.45323172371614,27.11568,23334,128.6968,73.8,7.2
310033,2.12,0.3,6.8219030512941,27.20687,42294,118.7381,82,2.7
1197070109,2.64,0.32,1.52084942072957,20.95956,3901,123.1274,64.4,65.6
235360765,2.48,0.2,1.7550442204324,21.85576,7856,126.4216,69.5,36.2
72530693,1.88,0.2,7.89221094080634,25.31003,15955,125.1859,76.9,21.4
4480145,2,0.2,9.88253103434228,27.65325,47713,124.7801,79.4,4.5
7093808,2.92,0.2,10.0011881389889,27.13151,28562,121.0838,80.9,4.9
59319234,1.39,0.3,7.46594241450162,26.4802,37475,123.703,81.4,4.1
2717344,2.39,1.7,4.39145647399792,24.00421,8951,125.3685,75.5,18.9
127317900,1.34,0.06,9.53660568581438,23.50004,34800,121.9651,82.6,3.4
15915966,2.51,0.1,14.7181042640708,26.29078,18797,128.8517,66.1,25.9
38244442,4.76,6.3,0.266308378184837,21.59258,2358,129.9341,61.5,71
2144215,1.5,0.6,3.34184866312845,26.45693,20977,129.5746,72.3,10.5
4109389,1.57,0.1,3.996721795381,27.20117,14158,127.5037,77.6,11.3
1972194,3.34,23.6,0.00861766941868,21.90157,2041,131.1361,45.2,114.2
3672782,5.19,1.6,0.157352182794582,21.89537,588,131.2555,61,100.9
3219802,1.42,0.1,4.49848339141717,26.86102,23223,130.8226,72,8.2
485079,1.63,0.3,22.1680796908671,27.43404,95001,122.3705,80.7,2.8
19926798,4.79,0.2,0.099422147564091,21.40347,1528,132.8371,63.4,66.7
13904671,5.78,11.2,0.082469880821383,22.03468,674,133.939,51.4,101.1
27197419,2.05,0.5,7.75223394597224,24.73069,19968,123.8593,74.5,8
321026,2.38,0.06,3.27772576758378,23.21991,12029,123.3223,78.2,16
14223403,6.82,1,0.041078866582895,21.78881,1602,128.0308,55.8,148.3
406392,1.38,0.1,6.18277102166305,27.68361,27872,124.1571,81.4,6.6
3414552,4.94,0.7,0.613103977214908,22.62295,3356,129.9875,63.6,103
1238013,1.58,0.9,3.07876289709044,25.15669,14615,130.8786,72.1,15.8
114972821,2.35,0.3,4.26117186643567,27.42468,15826,122.1216,75.7,17.9
4111168,1.49,0.4,1.3133211868088,24.2369,3890,129.9424,69.6,17.6
2629666,2.37,0.06,3.75948681536665,24.88385,7563,129.7504,63.2,34.8
31350544,2.44,0.1,1.5940831352875,25.63182,6091,126.5284,73.3,35.8
22994867,5.54,11.4,0.104748301086439,21.93536,864,135.3949,55,114.4
51030006,2.05,0.6,0.191053400032007,21.44932,2891,123.1421,60.8,87.2
26325183,2.9,0.4,0.105412982603433,20.76344,1866,125.5561,68.6,50.7
16519862,1.77,0.2,10.5330281250037,26.01541,47388,121.695,80.3,4.8
4285380,2.12,0.1,8.00908440122814,27.76893,32122,118.7421,80.2,6.4
5594524,2.72,0.2,0.778151613106046,25.77291,4060,123.4792,75.2,28.1
15085130,7.59,0.8,0.063437108830928,21.21958,843,135.1021,59.7,141.3
151115683,6.02,3.6,0.61468966211936,23.03322,4684,135.492,58,140.9
4771633,1.96,0.1,10.5297687913484,26.93424,65216,126.0266,80.7,3.6
2652281,2.89,0.1,15.5720804577084,26.24109,47799,126.887,74.6,11.9
163096985,3.58,0.1,0.935618056464575,22.29914,4187,126.5196,64.1,95.5
3498679,2.61,0.9,2.22379634307524,26.26959,14033,122.6829,77.1,21
6540267,4.07,0.9,0.53074633684253,25.01506,1982,120.0524,58.2,69.7
6047131,3.06,0.3,0.698581745834806,25.54223,6684,123.615,73.6,25.7
28642048,2.58,0.4,1.45013443843679,24.77041,9249,119.6368,76.8,23.2
90297115,3.26,0.06,0.842120697014514,22.87263,5332,122.3459,69.4,33.4
38525752,1.33,0.1,8.27076714913332,26.6738,19996,129.6765,75.3,6.7
10577458,1.36,0.5,5.48692639969689,26.68445,27747,127.2631,79.2,4.1
1388962,2.2,0.06,48.7020615159807,28.13138,126076,126.3153,80.4,9.5
20741669,1.34,0.1,4.38344907454584,25.41069,18032,128.7553,73.4,16.1
143123163,1.49,1,11.9827176136868,26.01131,22506,128.4903,67.6,13.5
9750314,5.06,2.9,0.054244469829612,22.55453,1173,135.1005,62.2,78.3
12229703,5.11,0.8,0.461633711070406,21.92743,2162,130.2795,64.3,75.8
9109535,1.41,0.1,5.27122267654064,26.51495,12522,130.3755,76.4,8
5521838,5.13,1.6,0.118255775422601,22.53139,1289,134.716,55.9,179.1
4849641,1.28,0.1,4.11444075456769,23.83996,65991,121.1736,80.9,2.8
5396710,1.31,0.06,6.90165445635826,26.92717,24670,129.528,74.8,8.8
2030599,1.43,0.06,8.51182819568071,27.43983,30816,129.9231,78.5,3.7
9132589,7.06,0.6,0.068218889235089,21.96917,615,131.5318,56.7,168.5
50348811,2.54,17.9,9.42796037329193,26.85538,12263,130.9949,55,66.1
45817016,1.42,0.4,7.29308875758134,27.49975,34676,122.0453,81.1,5
19949553,2.32,0.06,0.58079108816102,21.96671,6907,124.8615,74.3,11.7
34470138,4.79,1,0.38211794469096,22.40484,3246,129.7199,67.4,84.7
506657,2.41,1,4.74113997041156,25.49887,13470,124.6358,69.1,26.4
1153750,3.7,25.9,0.949860795263562,23.16969,5887,131.8793,46.1,112.2
9226333,1.92,0.1,5.31568839898759,26.37629,43421,122.9473,81.1,3.2
7646542,1.47,0.4,5.33305762439957,26.20195,55020,119.6465,81.9,4.7
7254072,3.7,0.2,0.453167660377614,23.77966,2001,129.9657,69.5,56.2
42844744,5.54,5.8,0.154672995475872,22.47792,2030,130.8328,59.7,72.4
66453255,1.48,1.3,3.83510188812475,23.00803,12216,120.4969,74.1,15.6
6052937,4.88,3.2,0.251983337363797,21.87875,1219,131.0248,60,96.4
1315372,1.8,1.5,31.9577172737108,26.39669,30875,124.9939,71.3,24.9
10408091,2.04,0.06,2.44066947552979,25.15699,9938,128.6291,76.5,19.4
70344357,2.15,0.06,4.02190258934962,26.70371,16454,124.0675,75.1,22.2
31014427,6.34,6.4,0.100852839348851,22.35833,1437,134.5204,57.2,89.3
46028476,1.38,1.1,7.03235907972496,25.42379,8762,131.4962,68.2,12.9
61689620,1.87,0.2,8.52646681764135,27.39249,37739,124.0845,79.5,5.6
304473143,2.07,0.6,18.5459916953635,28.45698,50384,118.4777,78.2,7.7
3350832,2.11,0.5,2.48976354717983,26.39123,15317,124.2604,76,13
26952719,2.46,0.1,4.47666901860092,25.32054,3733,124.3462,68.7,49.2
86589342,1.86,0.4,1.47934657540447,20.9163,4085,121.9367,75.4,26.2
13114579,5.88,13.6,0.148981513583247,20.68321,3039,132.4493,52,94.9
13495462,3.85,15.1,0.654323189771206,22.0266,1286,131.9745,49,98.3
